src_name,src_domain,src_clia,persona,apollo_id,contact_name,contact_first_name,contact_email,contact_title,contact_linkedin_url,contact_phone
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,52D0676908,lab_director,66a9cb734a86f40001e36c62,Crystal Mo***r,Crystal,(require direct fetch),Lab Director/Center Physician,,
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,52D0676908,medical_director,60af71849c5f7c00013a33a5,Charolette Ja***n,Charolette,(require direct fetch),Medical Director,,(require direct fetch)
FROEDTERT & THE MEDICAL COLLEGE OF WISCONSIN,froedtert.com,52D0678401,ceo_owner,610d8bba93a9f4000145b591,Andres Go***z,Andres,(require direct fetch),"Vice President, Community Engagment and Chief Diversity Officer",,(require direct fetch)
A2CL AURORA HEALTH CENTER - NEW BERLIN,aurorahealthcare.org,52D0880249,ceo_owner,60e312e47743ac0001c79606,Jennifer Sc***g,Jennifer,(require direct fetch),President Southeast Wisconsin Area and President Aurora St. Luke’s Medical Center,,(require direct fetch)
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,52D0901417,lab_director,66a9cb734a86f40001e36c62,Crystal Mo***r,Crystal,(require direct fetch),Lab Director/Center Physician,,
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,52D0901417,medical_director,60af71849c5f7c00013a33a5,Charolette Ja***n,Charolette,(require direct fetch),Medical Director,,(require direct fetch)
COPPE LABORATORIES,coppelabs.com,52D0921062,ceo_owner,54a4a0b47468692fa2a2c556,Konstance Kn***x,Konstance,(require direct fetch),"Founder, CEO",,(require direct fetch)
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,52D0921541,lab_director,66a9cb734a86f40001e36c62,Crystal Mo***r,Crystal,(require direct fetch),Lab Director/Center Physician,,
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,52D0921541,medical_director,60af71849c5f7c00013a33a5,Charolette Ja***n,Charolette,(require direct fetch),Medical Director,,(require direct fetch)
BIOLIFE PLASMA SERVICES LP,biolifeplasma.com,52D0930815,lab_director,66a9cb734a86f40001e36c62,Crystal Mo***r,Crystal,(require direct fetch),Lab Director/Center Physician,,
